(43 71 18 0) , 3437688,00

(43 71 18 0) , 3437688,00

(43 71 18 0) , 3437688,00

(43 71 18 0) , 3437688,00

(43 71 18 0) , 3437688,00

(43 71 18 0) , 3437688,00

(43 71 18 0) , 3437688,00

(43 71 18 0) , 3437688,00

(43 71 18 0) , 3437688,00

(43 71 18 0) , 3437688,00

(43 71 18 0) , 3437688,00

(43 71 18 0) , 3437688,00

(43 71 18 0) , 3437688,00

(43 71 18 0) , 3437688,00

(43 71 18 0) , 3437688,00

(43 71 18 0) , 3437688,00

(43 71 18 0) , 3437688,00

(43 71 18 0) , 3437688,00

(43 71 18 0) , 3437688,00

(43 71 18 0) , 3437688,00

(43 71 18 0) , 3437688,00

(43 71 18 0) , 3437688,00

(43 71 18 0) , 3437688,00

(43 71 18 0) , 3437688,00

(43 71 18 0) , 3437688,00

(43 71 18 0) , 3437688,00

(43 71 18 0) , 3437688,00

(43 71 18 0) , 3437688,00

(43 71 18 0) , 3437688,00

(43 71 18 0) , 3437688,00

(43 71 18 0) , 3437688,00

(43 71 18 0) , 3437688,00

(43 71 18 0) , 3437688,00

(43 71 18 0) , 3437688,00

(43 71 18 0) , 3437688,00

(43 71 18 0) , 3437688,00

(43 71 18 0) , 3437688,00

(43 71 18 0) , 3437688,00

(43 71 18 0) , 3437688,00

(43 71 18 0) , 3437688,00

(43 71 18 0) , 3437688,00

(43 71 18 0) , 3437688,00

(43 71 18 0) , 3437688,00

(43 71 18 0) , 3437688,00

(43 71 18 0) , 3437688,00

(43 10 18 10) , 2043147,13

(43 71 18 0) , 3437688,00

(27 54 18 0) , 2631767,50

(43 71 18 0) , 3437688,00

(43 71 18 0) , 3437688,00

(43 71 18 0) , 3437688,00

(43 71 18 0) , 3437688,00

(43 71 18 0) , 3437688,00

(43 71 18 0) , 3437688,00

(43 71 18 0) , 3437688,00

(43 71 18 0) , 3437688,00

(43 71 18 0) , 3437688,00

(43 71 18 0) , 3437688,00

(43 71 18 0) , 3437688,00

(38 71 18 0) , 3328405,50

(64 84 18 0) , 87802,00

(43 69 18 0) , 3381744,25

(43 71 18 0) , 3437688,00

(43 71 18 0) , 3437688,00

(43 49 18 0) , 2832860,50

(43 71 18 0) , 3437688,00

(38 71 18 0) , 3328405,50

(43 71 18 0) , 3437688,00

(43 71 18 0) , 3437688,00

(43 71 18 0) , 3437688,00

(43 71 18 0) , 3437688,00

(43 71 18 0) , 3437688,00

(43 71 18 0) , 3437688,00

(32 8 47 0) , 2322150,25

(43 71 18 0) , 3437688,00

(43 71 18 0) , 3437688,00

(43 17 18 0) , 2000700,63

(43 18 29 0) , 2317660,25

(43 71 18 0) , 3437688,00

(43 71 18 0) , 3437688,00

(43 55 18 0) , 2995434,25

(43 71 18 0) , 3437688,00

(43 91 18 20) , 85254,00

(43 71 18 0) , 3437688,00

(43 47 18 0) , 2779089,50

(30 71 18 0) , 3155044,75

(43 71 18 0) , 3437688,00

(48 8 18 0) , 1874617,75

(43 71 18 0) , 3437688,00

(43 14 18 0) , 1926111,63

(43 71 18 0) , 3437688,00

(43 56 9 7) , 2932775,75

(43 71 18 0) , 3437688,00

